Rank,School,Previous,Conference,Record,Road,Neutral,Home,Quad 1,Quad 2,Quad 3,Quad 4
1,Duke,1,ACC,31-3,10-1,4-2,17-0,9-3,7-0,10-0,5-0
2,Auburn,2,SEC,28-5,8-2,7-1,13-2,16-5,6-0,2-0,4-0
3,Houston,3,Big 12,30-4,10-0,4-3,16-1,14-3,6-1,5-0,5-0
4,Florida,4,SEC,29-4,7-3,7-0,15-1,10-4,9-0,4-0,6-0
5,Tennessee,6,SEC,27-6,6-5,5-0,16-1,11-6,5-0,5-0,6-0
6,Alabama,5,SEC,25-8,9-3,4-2,12-3,11-8,8-0,4-0,2-0
7,Texas Tech,7,Big 12,25-8,8-2,2-3,15-3,10-5,3-3,6-0,6-0
8,Gonzaga,8,WCC,25-8,8-2,4-4,13-2,5-5,5-3,5-0,10-0
9,Iowa St.,10,Big 12,24-9,6-5,3-2,15-2,10-7,6-2,3-0,5-0
10,Maryland,9,Big Ten,25-8,5-5,3-1,17-2,8-7,6-1,3-0,8-0
11,Michigan St.,11,Big Ten,27-6,8-2,4-3,15-1,13-5,5-1,5-0,4-0
12,Arizona,12,Big 12,22-12,6-5,3-4,13-3,10-11,4-1,4-0,4-0
13,St. John's (NY),13,Big East,30-4,8-2,4-2,18-0,6-4,11-0,7-0,6-0
14,Wisconsin,15,Big Ten,26-8,6-5,6-0,14-3,8-7,10-1,2-0,6-0
15,Kentucky,14,SEC,22-11,4-6,3-2,15-3,11-10,1-1,4-0,6-0
16,Missouri,16,SEC,22-11,3-7,1-2,18-2,7-11,3-0,4-0,8-0
17,Illinois,17,Big Ten,21-12,5-5,3-3,13-4,8-10,7-2,0-0,6-0
18,Texas A&M,18,SEC,22-10,5-5,4-2,13-3,7-9,9-1,1-0,5-0
19,Purdue,19,Big Ten,22-11,5-6,3-3,14-2,7-10,9-1,2-0,4-0
20,Kansas,20,Big 12,21-12,4-8,3-1,14-3,6-11,7-1,5-0,3-0
21,Saint Mary's (CA),21,WCC,27-5,9-1,3-3,15-1,4-3,6-2,7-0,10-0
22,Clemson,22,ACC,27-6,9-3,3-1,15-2,5-3,8-2,8-1,6-0
23,Louisville,23,ACC,27-7,9-2,4-2,14-3,4-6,11-1,7-0,5-0
24,BYU,24,Big 12,24-9,6-5,3-2,15-2,8-7,6-2,4-0,6-0
25,Michigan,27,Big Ten,24-9,7-3,4-3,13-3,11-7,4-2,7-0,2-0
26,Marquette,25,Big East,23-10,7-6,2-1,14-3,6-8,7-2,5-0,5-0
27,UCLA,26,Big Ten,22-10,5-5,2-3,15-2,9-8,5-1,1-1,7-0
28,Ole Miss,28,SEC,22-11,5-6,4-2,13-3,8-10,5-1,2-0,7-0
29,Oregon,29,Big Ten,24-9,7-4,5-1,12-4,8-7,8-2,5-0,3-0
30,Baylor,30,Big 12,18-14,3-9,3-2,12-3,5-12,7-1,1-1,5-0
31,VCU,31,Atlantic 10,26-6,7-3,5-2,14-1,2-1,5-4,6-0,13-1
32,UConn,32,Big East,23-10,7-4,2-4,14-2,6-6,7-3,4-1,6-0
33,Georgia,33,SEC,20-12,3-7,2-2,15-3,4-11,5-1,3-0,8-0
34,Mississippi St.,34,SEC,21-12,6-5,5-2,10-5,7-10,6-2,2-0,6-0
35,UC San Diego,35,Big West,28-4,12-2,5-0,11-2,2-1,2-1,9-2,15-0
36,North Carolina,36,ACC,22-13,6-6,4-4,12-3,1-12,8-0,7-1,6-0
